Words;Quantity;Frequency%
et;623;1,511
in;560;1,359
ac;559;1,356
quis;556;1,349
id;525;1,274
ut;525;1,274
vel;525;1,274
vitae;521;1,264
nec;519;1,259
amet;515;1,249
sit;515;1,249
at;513;1,245
eu;501;1,215
non;488;1,184
a;478;1,160
eget;473;1,147
sed;472;1,145
Donec;363;0,881
tincidunt;358;0,868
Sed;357;0,866
ipsum;327;0,793
turpis;321;0,779
orci;313;0,759
dolor;308;0,747
est;293;0,711
augue;290;0,704
ante;288;0,699
elit;286;0,694
faucibus;284;0,689
nunc;278;0,674
justo;277;0,672
mauris;275;0,667
lectus;273;0,662
quam;273;0,662
urna;272;0,660
purus;271;0,657
mi;270;0,655
nisl;270;0,655
odio;270;0,655
lorem;269;0,653
metus;266;0,645
erat;265;0,643
arcu;263;0,638
velit;263;0,638
tortor;262;0,636
tellus;261;0,633
nulla;260;0,631
sapien;260;0,631
diam;259;0,628
ligula;259;0,628
massa;259;0,628
nibh;259;0,628
ex;253;0,614
felis;252;0,611
magna;251;0,609
leo;250;0,606
libero;249;0,604
sem;248;0,602
nisi;246;0,597
malesuada;245;0,594
neque;245;0,594
eros;243;0,590
lacus;243;0,590
enim;241;0,585
posuere;237;0,575
dui;236;0,573
risus;234;0,568
luctus;228;0,553
feugiat;227;0,551
consectetur;226;0,548
auctor;225;0,546
volutpat;220;0,534
Vestibulum;219;0,531
pharetra;218;0,529
cursus;213;0,517
dapibus;211;0,512
egestas;211;0,512
dictum;210;0,509
tristique;210;0,509
pellentesque;208;0,505
convallis;206;0,500
accumsan;205;0,497
facilisis;204;0,495
imperdiet;204;0,495
tempor;203;0,492
pulvinar;202;0,490
ultrices;202;0,490
Pellentesque;201;0,488
varius;201;0,488
vulputate;201;0,488
gravida;198;0,480
placerat;198;0,480
semper;198;0,480
mattis;197;0,478
ornare;196;0,475
interdum;195;0,473
venenatis;195;0,473
In;194;0,471
mollis;194;0,471
rhoncus;194;0,471
blandit;192;0,466
lacinia;192;0,466
maximus;192;0,466
sodales;192;0,466
sollicitudin;192;0,466
ullamcorper;192;0,466
Aliquam;191;0,463
Duis;191;0,463
Nulla;191;0,463
viverra;191;0,463
tempus;190;0,461
ultricies;190;0,461
condimentum;189;0,459
bibendum;188;0,456
vehicula;188;0,456
rutrum;187;0,454
congue;186;0,451
efficitur;186;0,451
scelerisque;186;0,451
suscipit;186;0,451
Suspendisse;185;0,449
finibus;185;0,449
vestibulum;185;0,449
hendrerit;184;0,446
molestie;184;0,446
Etiam;181;0,439
Mauris;181;0,439
iaculis;181;0,439
sagittis;181;0,439
Cras;179;0,434
aliquam;178;0,432
lobortis;178;0,432
aliquet;177;0,429
eleifend;177;0,429
elementum;177;0,429
Morbi;176;0,427
Proin;175;0,425
dignissim;175;0,425
laoreet;175;0,425
fermentum;174;0,422
consequat;173;0,420
fringilla;173;0,420
Maecenas;172;0,417
Nam;171;0,415
Nullam;171;0,415
commodo;171;0,415
euismod;170;0,412
Aenean;169;0,410
pretium;169;0,410
Phasellus;168;0,408
Praesent;168;0,408
Ut;168;0,408
Fusce;167;0,405
Vivamus;167;0,405
porttitor;167;0,405
Quisque;163;0,395
Integer;162;0,393
Curabitur;154;0,374
Nunc;154;0,374
porta;152;0,369
per;56;0,136
primis;52;0,126
